subjID,exptPart,trialNumber,roleCurrent,marblesSampled,probabilityRed,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime,lie,player.bullshitter,player.bullshitDetector
sona-25901,trial,1,bullshitDetector,10,0.2,2,2,3,False,-1,True,-3,8,-3,8,5896.5671860674,11478,How many red marbles did you actually draw?,-1,-1,-1,False,21852,FALSE,computer,human
sona-25901,trial,2,bullshitter,10,0.2,1,1,-1,False,0.4463908352,False,9,1,6,9,2657.4392762015,4506,How many red marbles did you actually draw?,1,1,3643,False,15535,FALSE,human,computer
sona-25901,trial,3,bullshitDetector,10,0.2,2,2,3,False,-1,False,2,8,8,17,5555.5335932483,4766,How many red marbles did you actually draw?,-1,-1,-1,False,15494,FALSE,computer,human
sona-25901,trial,4,bullshitter,10,0.2,4,3,-1,False,-0.056925644800002,False,7,3,15,20,2082.9721146888,9043,How many red marbles did you actually draw?,-1,-1,-1,False,19535,TRUE,human,computer
sona-25901,trial,5,bullshitDetector,10,0.2,6,0,-1,True,-0.056925644800002,True,5,-5,20,15,5692.511939681,4748,How many red marbles did you actually draw?,-1,-1,-1,False,13470,TRUE,computer,human
sona-25901,trial,6,bullshitter,10,0.2,2,2,-1,False,0.1444009472,False,8,2,28,17,2806.1755676012,4268,How many red marbles did you actually draw?,-1,-1,-1,False,12144,FALSE,human,computer
sona-25901,trial,7,bullshitDetector,10,0.2,3,2,2,False,-1,False,2,8,30,25,6655.4477131109,4194,How many red marbles did you actually draw?,-1,-1,-1,False,12769,TRUE,computer,human
sona-25901,trial,8,bullshitter,10,0.2,3,3,-1,False,-0.056925644800002,False,7,3,37,28,2157.2216307182,4122,How many red marbles did you actually draw?,-1,-1,-1,False,11965,FALSE,human,computer
sona-25901,trial,9,bullshitDetector,10,0.2,1,1,2,False,-1,True,-4,9,33,37,5642.4546155517,3254,How many red marbles did you actually draw?,-1,-1,-1,False,10744,FALSE,computer,human
sona-25901,trial,10,bullshitter,10,0.2,2,2,-1,False,0.1444009472,False,8,2,41,39,2939.1935034302,3666,How many red marbles did you actually draw?,-1,-1,-1,False,11831,FALSE,human,computer
sona-25901,trial,11,bullshitDetector,10,0.2,3,5,-1,False,0.1444009472,False,5,5,46,44,5702.3232167776,18503,How many red marbles did you actually draw?,-1,-1,-1,True,26172,TRUE,computer,human
sona-25901,trial,12,bullshitter,10,0.2,2,2,-1,False,0.1444009472,False,8,2,54,46,2279.2265748155,3448,How many red marbles did you actually draw?,-1,-1,-1,False,11096,FALSE,human,computer
sona-25901,trial,13,bullshitDetector,10,0.2,2,2,3,False,-1,True,-3,8,51,54,5716.5753823975,6930,How many red marbles did you actually draw?,-1,-1,-1,False,14494,FALSE,computer,human
sona-25901,trial,14,bullshitter,10,0.2,1,1,-1,False,0.4463908352,True,9,-4,60,50,2326.9999287232,3132,How many red marbles did you actually draw?,-1,-1,-1,False,9810,FALSE,human,computer
sona-25901,trial,15,bullshitDetector,10,0.2,1,7,-1,True,0.4463908352,False,7,3,67,53,7021.5496754076,14075,How many red marbles did your opponent report drawing?,7,7,10338,False,34826,TRUE,computer,human
sona-25901,trial,16,bullshitter,10,0.2,1,1,-1,False,0.4463908352,False,9,1,76,54,2097.6585123118,3207,How many red marbles did your opponent report drawing?,-1,-1,-1,False,9604,FALSE,human,computer
sona-25901,trial,17,bullshitDetector,10,0.2,2,8,-1,False,0.4463908352,False,8,2,84,56,5867.1037316701,9064,How many red marbles did your opponent report drawing?,-1,-1,-1,True,16647,TRUE,computer,human
